American Blonde Ale
American Pale Ale
American Pale Wheat Ale
American Wild Ale
Belgian IPA
Belgian Pale Ale
Berliner Weissbier
Bière de Garde
California Common Steam Beer
Fruit or Vegetable Beer
Gose
Hefeweizen
Kölsch
Kristalweizen
Lambic - Fruit
Munich Helles Lager
Roggenbier
Rye Beer
Saison Farmhouse Ale
Scottish Gruit or Ancient Herbed Ale
Witbier
