Altbier
American Double Imperial IPA
American Double Imperial Pilsner
American Double Imperial Stout
American Stout
Baltic Porter
Belgian Strong Pale Ale
Bock
Braggot
Doppelbock
English Stout
Euro Strong Lager
Extra Special Strong Bitter
Munich Dunkel Lager
Quadrupel
Rauchbier
Scottish Gruit Ancient Herbed Ale
Smoked Beer
Wheatwine
Winter Warmer
