American Amber Red Ale
American Amber Red Lager
American IPA
American Pale Ale
American Pale Lager
American Pale Wheat Ale
California Common Steam Beer
Dortmunder Export Lager
English Pale Mild Ale
Euro Pale Lager
German Pilsener
Hefeweizen
Irish Red Ale
Japanese Rice Lager
Kristalweizen
Pumpkin Ale
Saison Farmhouse Ale
Scottish Gruit Ancient Herbed Ale
Tripel
Vienna Lager
Winter Warmer
Witbier
