American Pale Lager
California Common Steam Beer
Dortmunder Export Lager
English Brown Ale
English Stout
English Strong Ale
Extra Special Strong Bitter
Irish Red Ale
Japanese Rice Lager
Kölsch
Munich Helles Lager
Roggenbier
Rye Beer
Tripel
Vienna Lager
